id,system,source_name,concept,size_cm,exam_name,teach
FJ3074,venous,Anterior inferior segmental branch of right portal vein,anterior inferior segmental branch of right portal vein,8.9,,
FJ3075,arterial,Anterior inferior segmental hepatic artery,anterior inferior segmental hepatic artery,7.0,,
FJ3083,venous,Anterior inferior segmental tributary of middle hepatic vein,anterior inferior segmental tributary of middle hepatic vein,9.4,,
FJ3086,venous,Anterior inferior segmental tributary of middle hepatic vein,anterior inferior segmental tributary of middle hepatic vein,4.6,,
FJ3072,digestive,Anterior inferior tributary of right hepatic biliary tree,anterior inferior tributary of right hepatic biliary tree,7.0,,
FJ3073,venous,Anterior superior segmental branch of right portal vein,anterior superior segmental branch of right portal vein,6.5,,
FJ3076,arterial,Anterior superior segmental hepatic artery,anterior superior segmental hepatic artery,6.2,,
FJ3121,venous,Anterior superior segmental tributary of right hepatic vein,anterior superior segmental tributary of right hepatic vein,7.0,,
FJ3071,digestive,Anterior superior tributary of right hepatic biliary tree,anterior superior tributary of right hepatic biliary tree,5.2,,
FJ2565,digestive,Appendix,appendix,7.0,,
FJ2566,digestive,Ascending colon,ascending colon,18.6,,
FJ3077,arterial,Caudate lobe branch of left hepatic artery,caudate lobe branch of left hepatic artery,3.7,,
FJ3124,venous,Caudate lobe branch of left portal vein,caudate lobe branch of left portal vein,3.4,,
FJ1916,arterial,Caudate lobe branch of right hepatic artery,caudate lobe branch of right hepatic artery,1.7,,
FJ2386,arterial,Caudate lobe branch of right hepatic artery,caudate lobe branch of right hepatic artery,1.7,,
FJ1914,venous,Caudate lobe branch of right portal vein,caudate lobe branch of right portal vein,1.3,,
FJ2816,digestive,Caudate lobe of liver,lobular segment,7.5,,
FJ1883,digestive,Caudate lobe tributary of left hepatic biliary tree,caudate lobe tributary of left hepatic biliary tree,3.8,,
FJ1846,arterial,Celiac artery,celiac artery,2.3,,
FJ2013,arterial,Celiac artery,celiac artery,2.3,,
FJ3421,arterial,Celiac trunk,celiac trunk,2.3,,
FJ3078,arterial,Common hepatic artery,common hepatic artery,2.1,,
FJ3079,digestive,Common hepatic duct,common hepatic duct,8.4,,
FJ3080,digestive,Cystic duct,cystic duct,1.2,,
FJ2567,digestive,Descending colon,descending colon,23.9,,
FJ1555,muscular,Left digastric,left digastric,3.5,,
FJ1560,muscular,Left digastric,left digastric,0.8,,
FJ1578,muscular,Left digastric,left digastric,6.3,,
FJ1556,muscular,Right digastric,right digastric,3.5,,
FJ1579,muscular,Right digastric,right digastric,6.2,,
FJ2587,digestive,Distal part of ileum,distal part of ileum,4.5,,
FJ2588,digestive,Distal part of ileum,distal part of ileum,5.1,,
FJ2589,digestive,Distal part of ileum,distal part of ileum,5.8,,
FJ2590,digestive,Distal part of ileum,distal part of ileum,3.7,,
FJ2591,digestive,Distal part of ileum,distal part of ileum,4.3,,
FJ2592,digestive,Distal part of ileum,distal part of ileum,4.2,,
FJ2593,digestive,Distal part of ileum,distal part of ileum,3.4,,
FJ2594,digestive,Distal part of ileum,distal part of ileum,3.0,,
FJ2595,digestive,Distal part of ileum,distal part of ileum,3.3,,
FJ2597,digestive,Distal part of ileum,distal part of ileum,3.9,,
FJ2598,digestive,Distal part of ileum,distal part of ileum,4.2,,
FJ2611,digestive,Distal part of jejunum,distal part of jejunum,4.8,,
FJ2612,digestive,Distal part of jejunum,distal part of jejunum,5.3,,
FJ2613,digestive,Distal part of jejunum,distal part of jejunum,3.6,,
FJ2614,digestive,Distal part of jejunum,distal part of jejunum,4.1,,
FJ2615,digestive,Distal part of jejunum,distal part of jejunum,3.8,,
FJ2616,digestive,Distal part of jejunum,distal part of jejunum,6.2,,
FJ2618,digestive,Distal part of jejunum,distal part of jejunum,4.0,,
FJ2619,digestive,Distal part of jejunum,distal part of jejunum,5.8,,
FJ2620,digestive,Distal part of jejunum,distal part of jejunum,4.3,,
FJ2621,digestive,Distal part of jejunum,distal part of jejunum,8.0,,
FJ3094,digestive,Left duct of caudate lobe of liver,left duct of caudate lobe of liver,3.8,,
FJ2573,digestive,Duodenum,duodenum,9.8,,
FJ2563,digestive,Esophagus,esophagus,27.4,,
FJ2817,digestive,Gallbladder,gallbladder,4.8,,
FJ3499,arterial,Left gastric artery,left gastric artery,4.7,,
FJ3594,arterial,Right gastric artery,right gastric artery,3.4,,
FJ3500,venous,Left gastric vein,left gastric vein,5.0,,
FJ3595,venous,Right gastric vein,right gastric vein,2.6,,
FJ3081,arterial,Hepatic artery proper,hepatic artery proper,3.0,,
FJ3096,digestive,Left hepatic duct,left hepatic duct,3.3,,
FJ3123,digestive,Right hepatic duct,right hepatic duct,1.0,,
FJ1853,venous,Hepatic portal vein,hepatic portal vein,4.9,,
FJ2415,venous,Left hepatic vein,left hepatic vein,6.4,,
FJ2416,venous,Right hepatic vein,right hepatic vein,8.8,,
FJ2599,digestive,Ileocecal junction,wall of distal part of ileum,5.3,,
FJ3511,arterial,Left inferior epigastric artery,left inferior epigastric artery,20.0,,
FJ3604,arterial,Right inferior epigastric artery,right inferior epigastric artery,20.0,,
FJ3512,venous,Left inferior epigastric vein,left inferior epigastric vein,20.0,,
FJ3605,venous,Right inferior epigastric vein,right inferior epigastric vein,20.4,,
FJ3442,arterial,Inferior mesenteric artery,inferior mesenteric artery,8.7,,
FJ3443,venous,Inferior mesenteric vein,inferior mesenteric vein,16.9,,
FJ3467,arterial,Left inferior suprarenal artery,left inferior suprarenal artery,5.4,,
FJ3584,arterial,Right inferior suprarenal artery,right inferior suprarenal artery,4.1,,
FJ3145,urinary,Left kidney,left kidney,10.6,,
FJ3147,urinary,Right kidney,right kidney,10.4,,
FJ3125,venous,Lateral inferior segmental branch of left portal vein,lateral inferior segmental branch of left portal vein,5.0,,
FJ3092,arterial,Lateral inferior segmental hepatic artery,lateral inferior segmental hepatic artery,4.7,,
FJ3097,venous,Lateral inferior segmental tributary of left hepatic vein,lateral inferior segmental tributary of left hepatic vein,4.7,,
FJ3099,venous,Lateral inferior segmental tributary of left hepatic vein,lateral inferior segmental tributary of left hepatic vein,2.1,,
FJ3100,venous,Lateral inferior segmental tributary of left hepatic vein,lateral inferior segmental tributary of left hepatic vein,1.2,,
FJ3089,digestive,Lateral inferior tributary of left hepatic biliary tree,lateral inferior tributary of left hepatic biliary tree,4.5,,
FJ3126,venous,Lateral superior segmental branch of left portal vein,lateral superior segmental branch of left portal vein,5.4,,
FJ3091,arterial,Lateral superior segmental hepatic artery,lateral superior segmental hepatic artery,5.5,,
FJ3093,arterial,Lateral superior segmental hepatic artery,lateral superior segmental hepatic artery,4.8,,
FJ3098,venous,Lateral superior segmental tributary of left hepatic vein,lateral superior segmental tributary of left hepatic vein,2.8,,
FJ3088,digestive,Lateral superior tributary of left hepatic biliary tree,lateral superior tributary of left hepatic biliary tree,5.4,,
