id,system,source_name,concept,size_cm,exam_name,teach
FJ2725,venous,Anterior cardiac vein,anterior cardiac vein,3.3,,
FJ2730,venous,Anterior cardiac vein,anterior cardiac vein,1.3,,
FJ2435,cardiac,Anterior cusp of aortic valve,anterior cusp of aortic valve,2.0,,
FJ2417,cardiac,Left anterior cusp of pulmonary valve,left anterior cusp of pulmonary valve,2.0,,
FJ2434,cardiac,Right anterior cusp of pulmonary valve,right anterior cusp of pulmonary valve,2.4,,
FJ2657,venous,Anterior interventricular vein,anterior interventricular vein,2.4,,
FJ2658,venous,Anterior interventricular vein,anterior interventricular vein,2.0,,
FJ2659,venous,Anterior interventricular vein,anterior interventricular vein,4.3,,
FJ2660,venous,Anterior interventricular vein,anterior interventricular vein,1.3,,
FJ2661,venous,Anterior interventricular vein,anterior interventricular vein,2.1,,
FJ2662,venous,Anterior interventricular vein,anterior interventricular vein,1.5,,
FJ2663,venous,Anterior interventricular vein,anterior interventricular vein,1.7,,
FJ2664,venous,Anterior interventricular vein,anterior interventricular vein,1.1,,
FJ2665,venous,Anterior interventricular vein,anterior interventricular vein,7.3,,
FJ2420,cardiac,Anterior leaflet of mitral valve,anterior leaflet of mitral valve,4.9,,
FJ2421,cardiac,Anterior leaflet of tricuspid valve,anterior leaflet of tricuspid valve,4.4,,
FJ2425,cardiac,Cavity of left atrium,cavity of left atrium,6.9,,
FJ2422,cardiac,Cavity of left ventricle,cavity of left ventricle,7.2,,
FJ2424,cardiac,Cavity of right atrium,cavity of right atrium,9.2,,
FJ2423,cardiac,Cavity of right ventricle,cavity of right ventricle,8.1,,
FJ2649,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,3.5,,
FJ2650,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,1.7,,
FJ2651,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,2.3,,
FJ2652,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,1.5,,
FJ2653,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,1.0,,
FJ2654,arterial,Circumflex branch of left coronary artery,circumflex branch of left coronary artery,1.2,,
FJ2643,arterial,Conus branch of anterior interventricular branch of left coronary artery,conus branch of anterior interventricular branch of left coronary artery,2.9,,
FJ2644,arterial,Conus branch of anterior interventricular branch of left coronary artery,conus branch of anterior interventricular branch of left coronary artery,1.5,,
FJ2655,venous,Coronary sinus,trunk of systemic vein,4.9,,
FJ2633,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,2.7,,
FJ2634,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,1.1,,
FJ2635,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,4.6,,
FJ2636,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,1.5,,
FJ2637,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,0.8,,
FJ2638,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,1.1,,
FJ2639,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,0.9,,
FJ2640,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,0.9,,
FJ2642,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,4.9,,
FJ2648,arterial,Diagonal branch of anterior descending branch of left coronary artery,diagonal branch of anterior descending branch of left coronary artery,1.3,,
FJ2671,arterial,First anterior ventricular branch of right coronary artery,first anterior ventricular branch of right coronary artery,2.4,,
FJ2673,arterial,First anterior ventricular branch of right coronary artery,first anterior ventricular branch of right coronary artery,2.2,,
FJ2677,arterial,First anterior ventricular branch of right coronary artery,first anterior ventricular branch of right coronary artery,1.3,,
FJ2714,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,4.9,,
FJ2715,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,0.7,,
FJ2716,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,0.9,,
FJ2717,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,1.6,,
FJ2718,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,0.6,,
FJ2719,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,1.2,,
FJ2720,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,1.2,,
FJ2721,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,1.1,,
FJ2722,arterial,First posterior ventricular branch of right coronary artery,first posterior ventricular branch of right coronary artery,1.7,,
FJ2632,arterial,First right anterior branch of anterior interventricular branch of left coronary artery,first right anterior branch of anterior interventricular branch of left coronary artery,0.5,,
FJ2645,arterial,First right anterior branch of anterior interventricular branch of left coronary artery,first right anterior branch of anterior interventricular branch of left coronary artery,1.8,,
FJ2656,venous,Great cardiac vein,great cardiac vein,4.5,,
FJ2667,arterial,Marginal branch of right coronary artery,marginal branch of right coronary artery,2.1,,
FJ2668,arterial,Marginal branch of right coronary artery,marginal branch of right coronary artery,1.2,,
FJ2672,arterial,Marginal branch of right coronary artery,marginal branch of right coronary artery,4.0,,
FJ2674,arterial,Marginal branch of right coronary artery,marginal branch of right coronary artery,1.2,,
FJ2675,arterial,Marginal branch of right coronary artery,marginal branch of right coronary artery,0.9,,
FJ2678,venous,Middle cardiac vein,middle cardiac vein,6.9,,
FJ2679,venous,Middle cardiac vein,middle cardiac vein,1.0,,
FJ2680,venous,Middle cardiac vein,middle cardiac vein,1.5,,
FJ2681,venous,Middle cardiac vein,middle cardiac vein,1.1,,
FJ2682,venous,Middle cardiac vein,middle cardiac vein,1.1,,
FJ2683,venous,Middle cardiac vein,middle cardiac vein,0.6,,
FJ2684,venous,Middle cardiac vein,middle cardiac vein,1.8,,
FJ2685,venous,Middle cardiac vein,middle cardiac vein,0.9,,
FJ2686,venous,Middle cardiac vein,middle cardiac vein,1.1,,
FJ2687,venous,Middle cardiac vein,middle cardiac vein,2.7,,
FJ2688,venous,Middle cardiac vein,middle cardiac vein,1.2,,
FJ2689,venous,Middle cardiac vein,middle cardiac vein,1.0,,
FJ2690,venous,Middle cardiac vein,middle cardiac vein,1.8,,
FJ2691,venous,Middle cardiac vein,middle cardiac vein,0.9,,
FJ2426,cardiac,Left posterior cusp of aortic valve,left posterior cusp of aortic valve,2.0,,
FJ2431,cardiac,Right posterior cusp of aortic valve,right posterior cusp of aortic valve,1.9,,
FJ2427,cardiac,Posterior cusp of pulmonary valve,posterior cusp of pulmonary valve,1.7,,
FJ2692,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,6.6,,
FJ2693,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,5.8,,
FJ2694,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,1.7,,
FJ2695,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,0.9,,
FJ2696,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,2.5,,
FJ2697,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,1.2,,
FJ2698,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,0.9,,
FJ2699,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,0.7,,
FJ2700,arterial,Posterior interventricular branch of right coronary artery,posterior interventricular branch of right coronary artery,0.8,,
FJ2432,cardiac,Posterior leaflet of mitral valve,myocardium of inferior wall of left ventricle,4.9,,
FJ2433,cardiac,Posterior leaflet of tricuspid valve,posterior leaflet of tricuspid valve,3.5,,
FJ2646,arterial,Second right anterior branch of anterior interventricular branch of left coronary artery,second right anterior branch of anterior interventricular branch of left coronary artery,2.5,,
FJ2436,cardiac,Septal leaflet of tricuspid valve,septal leaflet of tricuspid valve,3.6,,
FJ2724,venous,Small cardiac vein,small cardiac vein,3.9,,
FJ2731,venous,Small cardiac vein,small cardiac vein,3.5,,
FJ2641,arterial,Third right anterior branch of anterior interventricular branch of left coronary artery,third right anterior branch of anterior interventricular branch of left coronary artery,2.4,,
FJ2647,arterial,Third right anterior branch of anterior interventricular branch of left coronary artery,third right anterior branch of anterior interventricular branch of left coronary artery,0.9,,
FJ2631,arterial,Trunk of anterior interventricular branch of left coronary artery,trunk of anterior interventricular branch of left coronary artery,7.8,,
FJ2737,arterial,Trunk of left coronary artery,trunk of left coronary artery,1.1,,
FJ2723,arterial,Trunk of right coronary artery,trunk of right coronary artery,7.3,,
FJ2438,cardiac,Wall of left atrium,wall of left atrium,8.6,,
FJ2439,cardiac,Wall of right atrium,wall of right side of heart,9.6,,
FJ2428,cardiac,Wall of ventricle,wall of ventricle,10.2,,
