id,system,source_name,concept,size_cm,exam_name,teach
FJ1932,arterial,Abdominal aorta,content of abdomen,18.7,,
FJ1981,venous,Accessory hemiazygos vein,accessory hemiazygos vein,12.9,,
FJ3009,arterial,Accessory subsuperior branch of right posterior basal segmental artery,accessory subsuperior branch of right posterior basal segmental artery,3.3,,
FJ3010,arterial,Accessory subsuperior branch of right posterior basal segmental artery,accessory subsuperior branch of right posterior basal segmental artery,1.3,,
FJ2211,arterial,Acromial branch of left thoraco-acromial artery,acromial branch of left thoraco-acromial artery,4.4,,
FJ2263,arterial,Acromial branch of right thoraco-acromial artery,acromial branch of right thoraco-acromial artery,4.4,,
FJ2883,arterial,Left anterior basal segmental artery,anterior basal segmental artery,11.3,,
FJ2886,arterial,Left anterior basal segmental artery,anterior basal segmental artery,3.7,,
FJ2887,arterial,Left anterior basal segmental artery,anterior basal segmental artery,1.9,,
FJ2535,respiratory,Left anterior basal segmental bronchial tree,left anterior basal segmental bronchial tree,4.3,,
FJ2536,respiratory,Left anterior basal segmental bronchial tree,left anterior basal segmental bronchial tree,5.1,,
FJ2538,respiratory,Left anterior basal segmental bronchial tree,left anterior basal segmental bronchial tree,4.1,,
FJ2452,respiratory,Right anterior basal segmental bronchial tree,right anterior basal segmental bronchial tree,7.1,,
FJ2493,respiratory,Right anterior basal segmental bronchial tree,right anterior basal segmental bronchial tree,3.8,,
FJ2494,respiratory,Right anterior basal segmental bronchial tree,right anterior basal segmental bronchial tree,1.3,,
FJ2956,venous,Left anterior basal segmental vein,left anterior basal segmental vein,8.0,,
FJ2957,venous,Left anterior basal segmental vein,left anterior basal segmental vein,2.6,,
FJ2959,venous,Left anterior basal segmental vein,left anterior basal segmental vein,5.4,,
FJ2960,venous,Left anterior basal segmental vein,left anterior basal segmental vein,2.9,,
FJ3049,venous,Right anterior basal segmental vein,right anterior basal segmental vein,4.6,,
FJ3056,venous,Right anterior basal segmental vein,right anterior basal segmental vein,2.8,,
FJ2982,arterial,Anterior branch of lateral segmental artery,anterior branch of lateral segmental artery,6.1,,
FJ2985,arterial,Anterior branch of lateral segmental artery,anterior branch of lateral segmental artery,1.9,,
FJ2975,arterial,Anterior branch of right anterior segmental artery,anterior branch of right anterior segmental artery,5.4,,
FJ2976,arterial,Anterior branch of right anterior segmental artery,anterior branch of right anterior segmental artery,1.3,,
FJ2977,arterial,Anterior branch of right anterior segmental artery,anterior branch of right anterior segmental artery,2.0,,
FJ2979,arterial,Anterior branch of right anterior segmental artery,anterior branch of right anterior segmental artery,1.5,,
FJ2725,venous,Anterior cardiac vein,anterior cardiac vein,3.3,,
FJ2730,venous,Anterior cardiac vein,anterior cardiac vein,1.3,,
FJ3406,arterial,Anterior cecal artery,anterior cecal artery,1.4,,
FJ2212,arterial,Left anterior circumflex humeral artery,left anterior circumflex humeral artery,6.7,,
FJ2264,arterial,Right anterior circumflex humeral artery,right anterior circumflex humeral artery,6.7,,
FJ2213,venous,Left anterior circumflex humeral vein,left anterior circumflex humeral vein,6.3,,
FJ2265,venous,Right anterior circumflex humeral vein,right anterior circumflex humeral vein,6.3,,
FJ2435,cardiac,Anterior cusp of aortic valve,anterior cusp of aortic valve,2.0,,
FJ2417,cardiac,Left anterior cusp of pulmonary valve,left anterior cusp of pulmonary valve,2.0,,
FJ2434,cardiac,Right anterior cusp of pulmonary valve,right anterior cusp of pulmonary valve,2.4,,
FJ3458,arterial,Anterior division of left renal artery,anterior division of left renal artery,3.4,,
FJ3459,arterial,Anterior division of left renal artery,anterior division of left renal artery,2.9,,
FJ3460,arterial,Anterior division of left renal artery,anterior division of left renal artery,4.9,,
FJ3461,arterial,Anterior division of left renal artery,anterior division of left renal artery,7.8,,
FJ3462,arterial,Anterior division of left renal artery,anterior division of left renal artery,2.9,,
FJ3463,arterial,Anterior division of left renal artery,anterior division of left renal artery,4.1,,
FJ3558,arterial,Anterior division of right renal artery,anterior division of right renal artery,3.5,,
FJ3559,arterial,Anterior division of right renal artery,anterior division of right renal artery,1.9,,
FJ3560,arterial,Anterior division of right renal artery,anterior division of right renal artery,2.0,,
FJ3561,arterial,Anterior division of right renal artery,anterior division of right renal artery,2.3,,
FJ3562,arterial,Anterior division of right renal artery,anterior division of right renal artery,5.7,,
FJ3563,arterial,Anterior division of right renal artery,anterior division of right renal artery,7.9,,
FJ3401,arterial,Anterior inferior pancreaticoduodenal artery,anterior inferior pancreaticoduodenal artery,3.1,,
FJ3074,venous,Anterior inferior segmental branch of right portal vein,anterior inferior segmental branch of right portal vein,8.9,,
FJ3075,arterial,Anterior inferior segmental hepatic artery,anterior inferior segmental hepatic artery,7.0,,
FJ3083,venous,Anterior inferior segmental tributary of middle hepatic vein,anterior inferior segmental tributary of middle hepatic vein,9.4,,
FJ3086,venous,Anterior inferior segmental tributary of middle hepatic vein,anterior inferior segmental tributary of middle hepatic vein,4.6,,
FJ2657,venous,Anterior interventricular vein,anterior interventricular vein,2.4,,
FJ2658,venous,Anterior interventricular vein,anterior interventricular vein,2.0,,
FJ2659,venous,Anterior interventricular vein,anterior interventricular vein,4.3,,
FJ2660,venous,Anterior interventricular vein,anterior interventricular vein,1.3,,
FJ2661,venous,Anterior interventricular vein,anterior interventricular vein,2.1,,
FJ2662,venous,Anterior interventricular vein,anterior interventricular vein,1.5,,
FJ2663,venous,Anterior interventricular vein,anterior interventricular vein,1.7,,
FJ2664,venous,Anterior interventricular vein,anterior interventricular vein,1.1,,
FJ2665,venous,Anterior interventricular vein,anterior interventricular vein,7.3,,
FJ2420,cardiac,Anterior leaflet of mitral valve,anterior leaflet of mitral valve,4.9,,
FJ2421,cardiac,Anterior leaflet of tricuspid valve,anterior leaflet of tricuspid valve,4.4,,
FJ3034,venous,Anterior part of lateral segmental vein,anterior part of lateral segmental vein,5.5,,
FJ3035,venous,Anterior part of lateral segmental vein,anterior part of lateral segmental vein,3.9,,
FJ3036,venous,Anterior part of lateral segmental vein,anterior part of lateral segmental vein,2.9,,
FJ2978,arterial,Anterior part of right apical segmental artery,anterior part of right apical segmental artery,5.7,,
FJ2989,arterial,Anterior part of right apical segmental artery,anterior part of right apical segmental artery,1.6,,
FJ3000,arterial,Anterior part of right apical segmental artery,anterior part of right apical segmental artery,0.9,,
FJ3011,arterial,Anterior part of right apical segmental artery,anterior part of right apical segmental artery,0.8,,
FJ3042,venous,Anterior part of right apical segmental vein,anterior part of right apical segmental vein,2.2,,
FJ3053,venous,Anterior part of right apical segmental vein,anterior part of right apical segmental vein,2.0,,
FJ2902,arterial,Left anterior segmental artery,left anterior segmental artery,5.2,,
FJ2904,arterial,Left anterior segmental artery,left anterior segmental artery,1.5,,
FJ2905,arterial,Left anterior segmental artery,left anterior segmental artery,1.4,,
FJ2906,arterial,Left anterior segmental artery,left anterior segmental artery,8.2,,
FJ2907,arterial,Left anterior segmental artery,left anterior segmental artery,1.2,,
FJ2908,arterial,Left anterior segmental artery,left anterior segmental artery,5.3,,
FJ2909,arterial,Left anterior segmental artery,left anterior segmental artery,1.4,,
FJ2910,arterial,Left anterior segmental artery,left anterior segmental artery,2.7,,
FJ2041,arterial,Right anterior segmental artery,right anterior segmental artery,2.8,,
FJ2044,arterial,Right anterior segmental artery,right anterior segmental artery,3.9,,
FJ2443,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,4.8,,
FJ2467,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,6.9,,
FJ2468,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,3.0,,
FJ2469,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,1.7,,
FJ2471,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,1.1,,
FJ2472,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,1.2,,
FJ2473,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,1.8,,
FJ2474,respiratory,Left anterior segmental bronchial tree,superior division of upper lobe part of left bronchial tree,2.5,,
FJ2453,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,6.2,,
FJ2509,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,5.2,,
FJ2510,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,2.4,,
FJ2511,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,0.9,,
FJ2512,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,1.5,,
FJ2513,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,1.9,,
FJ2514,respiratory,Right anterior segmental bronchial tree,right anterior segmental bronchial tree,1.8,,
FJ2930,venous,Left anterior segmental vein,left anterior segmental vein,5.3,,
FJ2931,venous,Left anterior segmental vein,left anterior segmental vein,4.0,,
FJ2932,venous,Left anterior segmental vein,left anterior segmental vein,1.8,,
FJ3028,venous,Right anterior segmental vein,right anterior segmental vein,3.7,,
FJ3029,venous,Right anterior segmental vein,right anterior segmental vein,1.2,,
FJ3409,arterial,Anterior superior pancreaticoduodenal artery,anterior superior pancreaticoduodenal artery,4.3,,
FJ3073,venous,Anterior superior segmental branch of right portal vein,anterior superior segmental branch of right portal vein,6.5,,
FJ3076,arterial,Anterior superior segmental hepatic artery,anterior superior segmental hepatic artery,6.2,,
FJ3121,venous,Anterior superior segmental tributary of right hepatic vein,anterior superior segmental tributary of right hepatic vein,7.0,,
FJ2259,arterial,Left anterior ulnar recurrent artery,left anterior ulnar recurrent artery,2.1,,
FJ2311,arterial,Right anterior ulnar recurrent artery,right anterior ulnar recurrent artery,2.1,,
FJ2967,arterial,Apical part of right apical segmental artery,apical part of right apical segmental artery,5.6,,
FJ3015,arterial,Apical part of right apical segmental artery,apical part of right apical segmental artery,1.5,,
FJ3016,arterial,Apical part of right apical segmental artery,apical part of right apical segmental artery,2.6,,
FJ3017,arterial,Apical part of right apical segmental artery,apical part of right apical segmental artery,0.7,,
FJ3064,venous,Apical part of right apical segmental vein,apical part of apical segmental vein,5.4,,
FJ3067,venous,Apical part of right apical segmental vein,apical part of apical segmental vein,1.0,,
FJ3068,venous,Apical part of right apical segmental vein,apical part of apical segmental vein,0.9,,
FJ2968,arterial,Apical part of right posterior segmental artery,apical part of right posterior segmental artery,1.4,,
